What is your opinion on Firefly,Do you think she is a good character,What is the nature of her relationship with the Traiblazer before they joined the Astral Express,What is the nature of her relationship with the Traiblazer now,How do you view her current relationship with the Trailblazer,What would you think if their relationship ended up explicitly  romantic,What would you think if their relationship ended up explicitly friendly,What would you think if their relationship ended up explicitly professional,What would you think if their relationship ended up explicitly strangers,What would you think if their relationship ended up explicitly enemies,Do you think that the Trailblazer is more of a Self-Insert Character,Do you feel that romantic relationships become the main focus in a story at the expense of other plot points,What do you think of Firefly's visual,What do you think of Firefly's personality,What do you think of Firefly's backstory lore and current place in the story,How Similar do you think Firefly is to the Trailblazer,How compatible do you think Firefly and Traiblazer are,Was it a disappointment to learn about her true identity as Sam
I am indifferent,She is a good character,Coworker,Friends,positive,neutral,positive,neutral,neutral,less positive,positive,less negative,positive,neutral,less positive,less positive,less positive,negative
I dislike her character,Her writing is not over,Lovers,Lovers,positive,positive,negative,negative,negative,negative,positive,less negative,neutral,negative,negative,neutral,positive,negative
I dislike her character,She is a good character,Strangers,Friends,positive,negative,positive,negative,negative,negative,positive,positive,negative,less positive,less positive,neutral,less positive,negative
I like her character,She is a good character,Lovers,Friends,positive,positive,neutral,negative,negative,negative,less negative,less negative,less positive,positive,less positive,neutral,neutral,less positive
I like her character,She is a good character,Lovers,Lovers,positive,positive,neutral,negative,negative,negative,even less negative,neutral,less positive,less positive,less positive,neutral,less positive,positive
I like her character,She is average,Strangers,Friends,positive,negative,less positive,less positive,less negative,neutral,positive,negative,positive,neutral,neutral,less negative,positive,less positive
I like her character,She is a great character,Friends,Friends,positive,positive,less positive,negative,negative,negative,even less negative,neutral,less positive,positive,less positive,neutral,positive,positive
I like her character,She is a great character,Friends,Lovers,positive,positive,neutral,neutral,less negative,negative,neutral,neutral,positive,less positive,positive,neutral,positive,less positive
I like her character,Her writing is not over,Something else,Lovers,positive,positive,neutral,negative,negative,negative,negative,negative,positive,less positive,neutral,neutral,less positive,less positive
I like her character,Her writing is not over,Coworker,Friends,positive,less positive,neutral,negative,negative,negative,negative,neutral,less positive,positive,less positive,neutral,less positive,positive
I like her character,She is a good character,Friends,Friends,positive,less positive,less positive,neutral,neutral,neutral,even less negative,neutral,positive,less positive,less positive,neutral,less positive,less positive
I like her character,She is a good character,Friends,Friends,positive,positive,positive,less positive,negative,negative,less negative,less positive,positive,positive,positive,less positive,positive,positive
I like her character,She is a good character,Coworker,Friends,positive,less positive,less positive,less negative,negative,neutral,negative,less negative,less positive,less positive,positive,neutral,positive,neutral
I like her character,She is a great character,Friends,Friends,positive,positive,positive,positive,negative,negative,even less negative,neutral,positive,less positive,positive,neutral,positive,positive
I like her character,She is a good character,Lovers,Lovers,positive,positive,neutral,less negative,negative,negative,even less negative,positive,positive,positive,less positive,neutral,neutral,less positive
I like her character,She is a good character,Lovers,Lovers,positive,positive,neutral,less negative,negative,negative,positive,less positive,less positive,neutral,less positive,less negative,positive,positive
I like her character,She is a good character,Coworker,Friends,positive,positive,positive,positive,negative,negative,negative,neutral,less positive,positive,less positive,neutral,less positive,positive
I like her character,She is a great character,Friends,Friends,positive,positive,positive,neutral,negative,negative,even less poitive,negative,positive,positive,positive,neutral,positive,positive
I like her character,She is a good character,Something else,Friends,positive,less positive,neutral,neutral,negative,negative,neutral,neutral,less positive,less positive,less positive,less positive,less positive,less positive
I like her character,She is a great character,Friends,Friends,positive,negative,positive,positive,negative,negative,neutral,negative,positive,positive,positive,neutral,neutral,positive
